Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jermaine Gresham (ARI, TE)",737,94,5,405,0,0,0,0,0,0,2,0,99.7,CIN
"Jason Witten (DAL, TE)",1039,147,3,317,0,0,0,0,0,0,0,0,121.9,DAL
"Jimmy Graham (SEA, TE)",982,135,9,306,0,0,0,0,0,0,1,0,150.2,NO
"Rob Gronkowski (NE, TE)",790,79,11,300,0,0,0,0,0,0,1,0,143.0,NE
"Brent Celek (PHI, TE)",684,88,1,295,0,0,0,0,0,0,1,0,72.4,PHI
"Kyle Rudolph (MIN, TE)",493,93,9,275,0,0,0,0,0,0,0,0,103.3,MIN
"Greg Olsen (CAR, TE)",843,104,5,259,0,0,0,0,0,0,0,0,114.3,CAR
"Dennis Pitta (BAL, TE)",669,94,7,251,0,0,0,0,0,0,0,0,108.9,BAL
"Marcedes Lewis (JAC, TE)",540,77,4,242,0,0,0,0,0,0,0,0,78.0,JAC
"Dwayne Allen (NE, TE)",521,66,3,242,5,3,0,0,0,0,1,0,68.6,IND
"Lance Kendricks (GB, TE)",519,64,4,225,0,0,0,0,0,0,1,0,73.9,STL
"Benjamin Watson (BAL, TE)",501,82,3,220,0,0,0,0,0,0,1,0,66.1,CLE
"Martellus Bennett (GB, TE)",626,90,5,205,0,0,0,0,0,0,0,0,92.6,NYG
"Rob Housler (NE, TE)",417,68,0,182,0,0,0,0,0,0,0,0,41.7,ARI
"Jared Cook (OAK, TE)",523,72,4,157,0,0,0,0,0,0,1,0,74.3,TEN
"Antonio Gates (SD, TE)",538,80,7,130,0,0,0,0,0,0,0,0,95.8,SD
"Logan Paulsen (SF, TE)",308,38,1,122,0,0,0,0,0,0,0,0,36.8,WAS
"Coby Fleener (NO, TE)",281,48,2,95,0,0,0,0,0,0,0,0,40.1,IND
"Jeff Cumberland (SD, TE)",320,52,3,92,0,0,0,0,0,0,0,0,50.0,NYJ
"Anthony Fasano (MIA, TE)",332,69,5,90,0,0,0,0,0,0,0,0,63.2,MIA
"Luke Stocker (TB, TE)",165,27,1,89,0,0,0,0,0,0,0,0,22.5,TB
"Ed Dickson (CAR, TE)",225,33,0,83,0,0,0,0,0,0,0,0,22.5,BAL
"Charles Clay (BUF, TE)",212,33,2,81,0,0,0,0,0,0,0,0,33.2,MIA
"Rhett Ellison (NYG, TE)",65,9,0,66,0,0,0,0,0,0,0,0,6.5,MIN
"Virgil Green (DEN, TE)",63,6,0,62,0,0,0,0,0,0,0,0,6.3,DEN
"Niles Paul (WAS, TE)",152,15,1,56,-1,1,0,0,0,0,1,0,19.099999999999998,WAS
"James Hanna (DAL, TE)",86,11,0,50,0,0,0,0,0,0,0,0,8.6,DAL
"Delanie Walker (TEN, TE)",339,39,3,50,0,0,0,0,0,0,1,0,49.9,SF
"Michael Hoomanawanui (NO, TE)",109,7,0,48,0,0,0,0,0,0,0,0,10.9,NE
"Ladarius Green (PIT, TE)",56,4,0,42,0,0,0,0,0,0,0,0,5.6,SD
"Garrett Celek (SF, TE)",51,7,0,21,0,0,0,0,0,0,0,0,5.1,SF
"Cory Harkey (LA, TE)",21,2,0,7,0,0,0,0,0,0,0,0,2.1,STL
"John Phillips (NO, TE)",55,10,1,6,0,0,0,0,0,0,0,0,11.5,DAL
"Lee Smith (OAK, TE)",13,4,2,5,0,0,0,0,0,0,0,0,13.3,BUF
