Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jason Witten (DAL, TE)",1002,128,9,402,0,0,0,0,0,0,1,0,199.2,DAL
"Antonio Gates (SD, TE)",782,65,10,311,0,0,0,0,0,0,0,0,163.2,SD
"Benjamin Watson (BAL, TE)",763,102,3,349,-1,1,0,0,0,0,0,0,128.20000000000002,CLE
"Marcedes Lewis (JAC, TE)",700,88,10,268,0,0,0,0,0,0,2,0,155.0,JAC
"Rob Gronkowski (NE, TE)",546,59,10,183,0,0,0,0,0,0,1,0,133.6,NE
"Anthony Fasano (MIA, TE)",528,60,4,198,0,0,0,0,0,0,0,0,96.3,MIA
"Brent Celek (PHI, TE)",511,80,4,249,0,0,0,0,0,0,0,0,96.1,PHI
"Jermaine Gresham (ARI, TE)",471,83,4,344,0,0,0,0,0,0,2,0,93.1,CIN
"Greg Olsen (CAR, TE)",404,69,5,159,0,0,0,0,0,0,2,0,86.9,CHI
"Jared Cook (OAK, TE)",361,45,1,135,0,0,0,0,0,0,0,0,56.6,TEN
"Jimmy Graham (SEA, TE)",356,44,5,138,3,1,0,0,0,0,1,0,79.39999999999999,NO
"Delanie Walker (TEN, TE)",331,45,0,173,18,3,0,0,0,0,1,0,47.4,SF
"Martellus Bennett (GB, TE)",260,48,0,191,0,0,0,0,0,0,1,0,40.5,DAL
"Zach Miller (CHI, TE)",216,26,1,107,9,2,0,0,0,0,0,0,38.5,JAC
"Ed Dickson (CAR, TE)",152,23,1,72,0,0,0,0,0,0,0,0,26.7,BAL
"Michael Hoomanawanui (NO, TE)",146,22,3,109,0,0,0,0,0,0,0,0,39.1,STL
"David Johnson (PIT, TE)",46,6,0,30,0,0,0,0,0,0,0,0,6.6,PIT
"Logan Paulsen (SF, TE)",10,2,1,9,0,0,0,0,0,0,0,0,8.0,WAS
"Jeff Cumberland (SD, TE)",3,2,0,3,0,0,0,0,0,0,0,0,0.8,NYJ
"Dennis Pitta (BAL, TE)",1,5,0,0,0,0,0,0,0,0,0,0,0.6,BAL
