Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"T.Y. Hilton (IND, WR)",1448,155,6,342,0,0,0,0,0,0,0,0,226.3,IND
"Julio Jones (ATL, WR)",1409,129,6,396,0,0,0,0,0,0,0,0,218.4,ATL
"Odell Beckham (NYG, WR)",1367,169,10,534,9,1,0,0,0,0,3,0,242.1,NYG
"Mike Evans (TB, WR)",1321,171,12,179,0,0,0,0,0,0,0,0,252.1,TB
"Antonio Brown (PIT, WR)",1284,154,12,434,9,3,0,0,0,0,0,0,254.3,PIT
"Jordy Nelson (GB, WR)",1257,152,14,361,0,0,0,0,0,0,1,0,256.2,GB
"Brandin Cooks (NE, WR)",1173,117,8,380,30,6,0,0,0,0,1,0,205.3,NO
"Amari Cooper (OAK, WR)",1149,131,5,430,0,1,0,0,0,0,2,0,181.9,OAK
"Jarvis Landry (MIA, WR)",1138,131,4,618,17,5,0,0,0,1,2,0,182.5,MIA
"Michael Thomas (NO, WR)",1137,121,9,483,0,0,0,0,0,0,2,0,209.7,NO
"Doug Baldwin (SEA, WR)",1128,125,7,472,2,3,0,15,1,1,1,0,204.0,SEA
"Julian Edelman (NE, WR)",1106,160,3,494,57,12,0,0,0,0,3,0,177.29999999999998,NE
"Demaryius Thomas (DEN, WR)",1083,144,5,322,0,0,0,0,0,0,2,0,179.3,DEN
"Golden Tate (DET, WR)",1077,135,4,619,4,10,0,0,0,0,2,0,173.6,DET
"Tyrell Williams (SD, WR)",1059,119,7,433,0,0,0,0,0,0,0,0,182.4,SD
"Pierre Garcon (SF, WR)",1041,114,3,342,0,0,0,0,0,0,0,0,161.6,WAS
"Emmanuel Sanders (DEN, WR)",1032,137,5,252,4,1,0,0,0,0,1,0,171.1,DEN
"Larry Fitzgerald (ARI, WR)",1028,151,6,366,1,1,0,0,0,1,2,0,188.9,ARI
"Mike Wallace (BAL, WR)",1017,117,4,427,31,5,0,0,0,0,1,0,162.79999999999998,BAL
"Terrelle Pryor (WAS, WR)",1007,141,4,246,21,8,1,41,0,9,1,0,170.29999999999998,CLE
"DeSean Jackson (TB, WR)",1005,100,4,281,0,0,0,0,0,0,0,0,152.5,WAS
"Michael Crabtree (OAK, WR)",1003,145,8,252,0,0,0,0,0,0,1,0,190.8,OAK
"Kenny Britt (CLE, WR)",1002,111,5,295,0,0,0,0,0,0,2,0,160.2,LA
"Davante Adams (GB, WR)",997,121,12,386,0,0,0,0,0,0,2,0,205.2,GB
"Adam Thielen (MIN, WR)",967,92,5,299,15,2,0,0,0,0,2,0,158.7,MIN
"A.J. Green (CIN, WR)",964,100,4,258,0,0,0,0,0,0,0,0,153.4,CIN
"DeAndre Hopkins (HOU, WR)",954,151,4,279,0,0,0,0,0,0,0,0,158.4,HOU
"Rishard Matthews (TEN, WR)",945,108,9,203,0,0,0,0,0,0,1,0,179.0,TEN
"Kelvin Benjamin (CAR, WR)",941,117,7,238,0,0,0,0,0,0,1,0,165.6,CAR
"Marvin Jones (DET, WR)",930,103,4,221,3,1,0,0,0,0,0,0,144.8,DET
"Stefon Diggs (MIN, WR)",903,112,3,319,10,3,0,0,0,0,0,0,151.3,MIN
"Willie Snead (NO, WR)",895,104,4,387,0,0,0,50,1,1,2,0,151.5,NO
