Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"DeSean Jackson (TB, WR)",1167,118,9,404,137,11,1,0,0,0,3,0,215.89999999999998,PHI
"Brandon Marshall (NYG, WR)",1120,154,10,515,39,7,0,0,0,0,0,0,226.4,DEN
"Larry Fitzgerald (ARI, WR)",1092,154,13,312,0,0,0,0,0,0,0,0,235.7,ARI
"Steve Smith (BAL, WR)",982,128,7,327,22,5,0,0,0,0,1,0,172.89999999999998,CAR
"Pierre Garcon (SF, WR)",765,92,4,284,10,2,0,0,0,0,1,0,123.0,IND
"Jeremy Maclin (KC, WR)",762,90,4,241,-7,2,0,0,0,0,0,0,127.0,PHI
"Devin Hester (SEA, WR)",757,91,3,293,-1,6,0,0,0,0,3,0,116.10000000000001,CHI
"Mike Wallace (BAL, WR)",756,72,6,143,48,5,0,0,0,0,1,0,133.9,PIT
"Kenny Britt (CLE, WR)",701,75,3,180,0,0,0,0,0,0,1,0,107.1,TEN
"Michael Crabtree (OAK, WR)",625,86,2,219,0,0,0,0,0,0,1,0,96.5,SF
"Ted Ginn (NO, WR)",454,78,1,43,48,7,0,0,0,0,2,0,71.2,MIA
"Julian Edelman (NE, WR)",359,54,1,257,5,2,0,0,0,0,1,0,58.9,NE
"Eddie Royal (CHI, WR)",345,79,0,124,1,1,0,0,0,0,2,0,49.1,DEN
"Danny Amendola (NE, WR)",326,63,1,186,-2,3,0,0,0,0,4,0,51.9,STL
"Jordy Nelson (GB, WR)",320,31,2,89,0,0,0,0,0,0,3,0,49.0,GB
"Darrius Heyward-Bey (PIT, WR)",124,40,1,12,19,2,0,0,0,0,0,0,24.799999999999997,OAK
"Eric Weems (TEN, WR)",50,6,2,22,53,8,0,0,0,0,3,0,19.3,ATL
"Matthew Slater (NE, WR)",0,0,0,0,6,1,0,0,0,0,0,0,0.6,NE
"Brandon Tate (BUF, WR)",0,2,0,0,11,1,0,0,0,0,0,0,1.1,NE
