Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Eric Decker (NYJ, WR)",1064,122,13,267,0,0,0,0,0,0,0,0,226.9,DEN
"Dez Bryant (DAL, WR)",1357,135,12,438,-5,2,0,0,0,0,5,0,241.7,DAL
"Brandon Marshall (NYG, WR)",1508,192,11,339,-2,1,0,0,0,0,2,0,271.6,CHI
"A.J. Green (CIN, WR)",1350,164,11,361,38,4,0,0,0,0,2,0,249.3,CIN
"Demaryius Thomas (DEN, WR)",1442,141,10,567,0,0,0,0,0,0,3,0,245.2,DEN
"Julio Jones (ATL, WR)",1198,128,10,511,30,6,0,0,0,0,0,0,222.3,ATL
"Michael Crabtree (OAK, WR)",1105,127,9,544,8,1,0,0,0,0,0,0,207.8,SF
"Mike Wallace (BAL, WR)",838,119,8,268,7,5,0,0,0,0,2,0,160.5,PIT
"Torrey Smith (PHI, WR)",855,110,8,211,9,3,0,0,0,0,0,0,158.9,BAL
"Randall Cobb (GB, WR)",954,104,8,456,132,10,0,0,0,0,4,0,188.6,GB
"Jordy Nelson (GB, WR)",745,73,7,251,0,0,0,0,0,0,0,0,141.0,GB
"Jeremy Maclin (KC, WR)",857,122,7,253,0,0,0,0,0,0,1,0,160.2,PHI
"Golden Tate (DET, WR)",682,67,7,258,20,3,0,23,1,1,1,0,136.7,SEA
"T.Y. Hilton (IND, WR)",861,90,7,378,29,5,0,0,0,1,1,0,154.0,IND
"Antonio Brown (PIT, WR)",787,106,5,353,24,7,0,0,0,2,4,1,134.1,PIT
"Justin Blackmon (JAC, WR)",865,132,5,284,23,2,0,0,0,0,1,0,148.8,JAC
"Josh Gordon (CLE, WR)",805,95,5,331,0,0,0,0,0,0,1,0,133.5,CLE
"Darrius Heyward-Bey (PIT, WR)",606,80,5,230,16,2,0,0,0,0,0,0,112.69999999999999,OAK
"Andre Roberts (ATL, WR)",759,114,5,221,29,4,0,0,0,0,1,0,138.8,ARI
"Kendall Wright (CHI, WR)",626,104,4,314,4,1,0,0,0,0,1,0,117.0,TEN
"Pierre Garcon (SF, WR)",644,68,4,313,2,1,0,0,0,0,0,0,111.10000000000001,WAS
"Steve Smith (BAL, WR)",1174,138,4,268,27,3,0,0,0,0,1,0,178.6,CAR
"Mohamed Sanu (ATL, WR)",154,25,4,71,15,5,0,73,1,1,0,0,54.9,CIN
"Larry Fitzgerald (ARI, WR)",798,156,4,282,0,0,0,0,0,0,0,0,139.3,ARI
"Kenny Britt (CLE, WR)",589,90,4,138,0,0,0,0,0,0,2,0,101.4,TEN
"Rueben Randle (CHI, WR)",298,32,3,73,0,0,0,0,0,0,2,0,53.3,NYG
"Danny Amendola (NE, WR)",666,101,3,240,8,2,0,0,0,0,3,0,110.89999999999999,STL
"Julian Edelman (NE, WR)",235,32,3,138,45,4,0,0,0,0,2,0,52.5,NE
"Aldrick Robinson (SF, WR)",237,19,3,62,14,1,0,0,0,0,0,0,48.6,WAS
"Doug Baldwin (SEA, WR)",366,50,3,82,0,0,0,0,0,0,0,0,69.1,SEA
"Alshon Jeffery (PHI, WR)",367,48,3,65,0,0,0,0,0,0,0,0,66.7,CHI
"Jarius Wright (MIN, WR)",310,36,2,109,11,2,0,0,0,0,0,0,55.1,MIN
"Travis Benjamin (SD, WR)",298,37,2,69,66,6,0,0,0,0,1,0,55.4,CLE
"Jeremy Kerley (SF, WR)",827,95,2,292,8,5,0,42,0,1,4,0,116.5,NYJ
"Brian Quick (WAS, WR)",156,27,2,32,0,0,0,0,0,0,0,0,33.1,STL
