Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Dez Bryant (DAL, WR)",1320,136,16,436,0,0,0,0,0,0,0,0,250.0,DAL
"Jordy Nelson (GB, WR)",1519,151,13,496,0,0,0,0,0,0,0,0,254.4,GB
"Odell Beckham (NYG, WR)",1305,130,12,486,35,7,0,0,0,1,1,0,226.75,NYG
"Randall Cobb (GB, WR)",1287,127,12,584,37,12,0,0,0,0,3,0,221.14999999999998,GB
"Mike Evans (TB, WR)",1051,123,12,177,0,0,0,0,0,0,0,0,194.1,TB
"Antonio Brown (PIT, WR)",1570,170,12,543,13,4,0,20,1,2,2,0,260.8,PIT
"Torrey Smith (PHI, WR)",767,92,11,169,0,0,0,0,0,0,0,0,154.95,BAL
"Demaryius Thomas (DEN, WR)",1619,184,11,659,0,0,0,0,0,0,0,0,255.65,DEN
"Mike Wallace (BAL, WR)",862,115,10,219,16,4,0,0,0,1,2,0,160.54999999999998,MIA
"Jeremy Maclin (KC, WR)",1329,144,10,502,0,0,0,0,0,0,0,0,214.4,PHI
"Alshon Jeffery (PHI, WR)",1133,145,10,452,33,6,0,0,0,0,1,0,195.85000000000002,CHI
"Kelvin Benjamin (CAR, WR)",1008,145,9,178,0,0,0,0,0,0,1,0,171.05,CAR
"Emmanuel Sanders (DEN, WR)",1404,141,9,379,44,8,0,0,0,0,1,0,222.05,DEN
"Brandon Marshall (NYG, WR)",721,106,8,224,0,0,0,0,0,0,1,0,133.35,CHI
"Terrance Williams (DAL, WR)",633,66,8,132,0,0,0,0,0,0,0,0,120.8,DAL
"Jordan Matthews (PHI, WR)",872,103,8,377,0,0,0,0,0,0,0,0,151.95,PHI
"Martavis Bryant (PIT, WR)",528,46,7,156,12,3,0,0,0,0,0,0,102.25,PIT
"T.Y. Hilton (IND, WR)",1345,131,7,366,20,2,0,0,0,0,3,0,193.0,IND
"Eddie Royal (CHI, WR)",778,91,7,354,14,3,0,0,0,0,1,0,134.70000000000002,SD
"Julio Jones (ATL, WR)",1593,163,6,539,1,1,0,0,0,0,2,0,217.4,ATL
"DeAndre Hopkins (HOU, WR)",1210,127,6,373,0,0,0,0,0,0,2,0,172.0,HOU
"Steve Smith (BAL, WR)",1065,134,6,415,0,0,0,0,0,0,1,0,160.25,BAL
"A.J. Green (CIN, WR)",959,105,6,288,2,2,0,0,0,0,2,0,143.35,CIN
"Kendall Wright (CHI, WR)",715,93,6,363,54,4,0,0,0,0,1,0,125.15,TEN
"Allen Hurns (JAC, WR)",677,97,6,207,0,0,0,0,0,0,0,0,116.45,JAC
"Sammy Watkins (BUF, WR)",982,128,6,343,8,2,0,0,0,0,1,0,149.25,BUF
"DeSean Jackson (TB, WR)",1169,95,6,513,7,4,0,0,0,0,0,0,167.6,WAS
"Robert Woods (LA, WR)",699,104,5,184,0,0,0,0,0,0,1,0,114.15,BUF
"Eric Decker (NYJ, WR)",962,114,5,308,0,0,0,0,0,0,0,0,144.7,NYJ
"Mohamed Sanu (ATL, WR)",774,98,5,327,51,7,0,79,1,3,0,0,133.5,CIN
"John Brown (ARI, WR)",696,103,5,180,-6,3,0,0,0,0,0,0,111.0,ARI
"Jarvis Landry (MIA, WR)",755,112,5,406,-4,2,0,0,0,0,7,0,112.1,MIA
"Golden Tate (DET, WR)",1331,143,4,694,30,5,0,0,0,0,1,0,182.85,DET
"Michael Crabtree (OAK, WR)",698,108,4,262,4,1,0,0,0,0,0,0,111.2,SF
"Cole Beasley (DAL, WR)",420,49,4,248,0,0,0,0,0,0,2,0,71.25,DAL
"Chris Hogan (NE, WR)",426,61,4,180,0,0,0,0,0,0,2,0,72.85,BUF
"Julian Edelman (NE, WR)",972,134,4,420,94,10,0,0,0,0,3,0,147.6,NE
"Keenan Allen (SD, WR)",783,121,4,303,0,0,0,0,0,0,2,0,117.55,SD
"Andre Holmes (BUF, WR)",693,99,4,187,0,0,0,0,0,0,0,0,105.05,OAK
"Donte Moncrief (IND, WR)",444,49,3,208,17,4,0,0,0,0,0,0,72.10000000000001,IND
"Kenny Stills (MIA, WR)",931,83,3,207,-2,1,0,0,0,0,1,0,124.64999999999999,NO
"Doug Baldwin (SEA, WR)",825,98,3,314,8,1,0,0,0,0,0,0,117.8,SEA
"Kamar Aiken (IND, WR)",267,33,3,61,0,0,0,0,0,0,0,0,50.7,BAL
"Rueben Randle (CHI, WR)",938,127,3,240,0,0,0,0,0,0,0,0,129.55,NYG
"Travis Benjamin (SD, WR)",314,46,3,43,11,3,0,0,0,0,2,0,51.0,CLE
"Brian Quick (WAS, WR)",375,39,3,68,0,0,0,0,0,0,0,0,61.75,STL
"Pierre Garcon (SF, WR)",752,105,3,333,0,0,0,0,0,1,0,0,110.2,WAS
"Kenny Britt (CLE, WR)",748,83,3,188,14,2,0,0,0,0,0,0,106.2,STL
"Brandin Cooks (NE, WR)",550,69,3,170,73,7,1,0,0,0,1,0,97.55,NO
"Davante Adams (GB, WR)",446,66,3,165,0,0,0,0,0,0,0,0,72.1,GB
"Jarius Wright (MIN, WR)",588,62,2,327,71,5,0,0,0,0,0,0,88.39999999999999,MIN
"Jaron Brown (ARI, WR)",229,32,2,61,0,0,0,0,0,0,1,0,38.4,ARI
"Markus Wheaton (CHI, WR)",627,82,2,144,19,4,0,0,0,0,0,0,89.10000000000001,PIT
"Devin Hester (SEA, WR)",504,59,2,258,36,6,1,0,0,0,2,0,77.5,ATL
"Andre Roberts (ATL, WR)",453,73,2,204,21,2,0,0,0,0,4,0,60.39999999999999,WAS
"Eric Weems (TEN, WR)",102,11,2,28,0,0,0,0,0,0,0,0,24.7,ATL
"Justin Hunter (PIT, WR)",458,66,2,167,0,0,0,0,0,0,0,0,64.55,TEN
"Rishard Matthews (TEN, WR)",135,22,2,38,3,1,0,0,0,0,1,0,26.8,MIA
"Larry Fitzgerald (ARI, WR)",784,103,2,335,0,0,0,0,0,0,1,0,104.15,ARI
"Bruce Ellington (SF, WR)",62,12,2,33,28,6,1,0,0,0,1,0,26.5,SF
"Harry Douglas (TEN, WR)",556,74,2,238,0,0,0,0,0,0,0,0,80.35,ATL
"Corey Brown (BUF, WR)",296,36,2,52,95,8,0,0,0,0,3,0,50.35,CAR
"Charles Johnson (CAR, WR)",475,59,2,170,-11,1,0,0,0,0,1,0,64.15,MIN
"Allen Robinson (JAC, WR)",548,81,2,158,0,0,0,0,0,0,0,0,78.8,JAC
"Brandon Tate (BUF, WR)",185,24,1,55,21,3,0,0,0,0,2,0,26.6,CIN
"Jermaine Kearse (SEA, WR)",537,69,1,206,15,2,0,17,0,1,0,0,70.7,SEA
"Jeremy Kerley (SF, WR)",409,75,1,150,86,4,0,0,0,1,1,0,63.0,NYJ
"Adam Thielen (MIN, WR)",137,14,1,34,0,0,0,0,0,0,0,0,21.7,MIN
"Corey Fuller (NO, WR)",202,31,1,31,0,0,0,0,0,0,1,0,27.7,DET
"Cordarrelle Patterson (OAK, WR)",384,67,1,164,117,10,1,0,0,0,1,0,68.35,MIN
"Corey Washington (BUF, WR)",52,8,1,14,0,0,0,0,0,0,0,0,12.45,NYG
"Michael Campanaro (BAL, WR)",102,9,1,35,0,0,0,0,0,0,0,0,17.95,BAL
"De'Anthony Thomas (KC, WR)",176,31,1,191,93,14,0,0,0,0,0,0,38.650000000000006,KC
"Taylor Gabriel (ATL, WR)",633,74,1,261,-2,2,0,0,0,0,0,0,78.6,CLE
"Paul Richardson (SEA, WR)",271,44,1,65,0,0,0,0,0,0,1,0,38.35,SEA
"Danny Amendola (NE, WR)",200,42,1,68,0,0,0,0,0,0,0,0,32.75,NE
"Marqise Lee (JAC, WR)",422,68,1,190,9,3,0,0,0,0,0,0,58.35,JAC
