Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"LeSean McCoy (BUF, RB)",540,64,2,585,1607,314,9,0,0,0,1,0,304.7,PHI
"Matt Forte (NYJ, RB)",592,95,3,500,1341,288,9,0,0,0,2,0,298.8,CHI
"Alfred Morris (DAL, RB)",78,12,0,79,1275,276,7,0,0,0,5,0,171.8,WAS
"Marshawn Lynch (OAK, RB)",316,44,2,280,1257,301,12,0,0,0,4,0,251.3,SEA
"Ryan Mathews (PHI, RB)",189,33,1,181,1255,285,6,0,0,0,2,0,195.4,SD
"Eddie Lacy (SEA, RB)",257,44,0,307,1178,284,11,0,0,0,1,0,225.0,GB
"Frank Gore (IND, RB)",141,26,0,101,1128,276,9,0,0,0,3,0,182.9,SF
"DeMarco Murray (TEN, RB)",348,66,1,374,1124,217,9,0,0,0,3,0,227.7,DAL
"C.J. Spiller (KC, RB)",197,41,0,239,927,201,2,0,0,0,4,0,133.4,BUF
"Le'Veon Bell (PIT, RB)",404,60,0,432,857,242,8,0,0,0,1,0,193.6,PIT
"Chris Ivory (JAC, RB)",10,7,0,8,833,182,3,0,0,0,2,0,99.3,NYJ
"Lamar Miller (HOU, RB)",170,35,0,166,709,177,2,0,0,0,1,0,110.9,MIA
"Bilal Powell (NYJ, RB)",272,57,0,307,697,176,1,30,0,1,1,0,119.9,NYJ
"Giovani Bernard (CIN, RB)",514,71,3,526,695,170,5,0,0,0,1,0,194.9,CIN
"Andre Ellington (ARI, RB)",371,57,1,260,652,117,3,0,0,0,1,0,143.8,ARI
"Doug Martin (TB, RB)",66,24,0,57,456,127,1,0,0,0,1,0,62.2,TB
"Bernard Pierce (DEN, RB)",104,25,0,111,436,152,2,0,0,0,0,0,76.0,BAL
"Danny Woodhead (BAL, RB)",605,87,6,411,425,106,2,0,0,0,2,0,185.0,SD
"Mark Ingram (NO, RB)",68,11,0,76,386,78,1,0,0,0,0,0,54.900000000000006,NO
"Darren McFadden (DAL, RB)",108,25,0,124,379,114,5,16,1,1,1,0,89.2,OAK
"Jacquizz Rodgers (TB, RB)",341,62,2,366,333,97,2,0,0,0,1,0,115.39999999999999,ATL
"Mike James (DET, RB)",43,11,0,49,295,60,0,2,1,1,0,0,42.8,TB
"Brandon Bolden (NE, RB)",152,28,0,159,268,54,3,0,0,0,0,0,70.5,NE
"Robert Turbin (IND, RB)",60,12,0,64,264,77,0,0,0,0,1,0,34.4,SEA
"Benny Cunningham (CHI, RB)",59,10,0,61,261,47,1,0,0,0,1,0,39.0,STL
"Knile Davis (PIT, RB)",75,15,0,89,242,70,4,0,0,0,3,0,55.2,KC
"Darren Sproles (PHI, RB)",604,89,2,519,220,53,2,0,0,0,3,0,135.9,NO
"Daryl Richardson (JAC, RB)",121,18,0,119,215,69,0,0,0,0,0,0,40.6,STL
"Shane Vereen (NYG, RB)",427,69,3,269,208,44,1,0,0,0,1,0,109.0,NE
"Jonathan Stewart (CAR, RB)",44,7,0,42,180,48,0,0,0,0,1,0,23.9,CAR
"Lance Dunbar (LA, RB)",59,7,0,61,150,30,0,0,0,0,1,0,22.4,DAL
"Fozzy Whittaker (CAR, RB)",155,36,2,154,80,29,0,0,0,0,1,0,44.0,CLE
"Christine Michael (GB, RB)",0,0,0,0,79,18,0,0,0,0,0,0,7.9,SEA
"Tommy Bohanon (JAC, RB)",69,16,0,61,62,17,0,0,0,0,0,0,18.6,NYJ
"C.J. Anderson (DEN, RB)",0,1,0,0,38,7,0,0,0,0,0,0,3.8,DEN
"Theo Riddick (DET, RB)",26,8,0,17,25,9,1,0,0,0,0,0,13.1,DET
"Taiwan Jones (OAK, RB)",55,3,0,40,23,5,0,0,0,0,2,0,4.800000000000001,OAK
"Mike Gillislee (NE, RB)",0,0,0,0,21,6,0,0,0,0,0,0,2.1,MIA
"Cedric Peerman (CIN, RB)",0,0,0,0,17,8,0,0,0,0,0,0,1.7,CIN
"Spencer Ware (KC, RB)",0,0,0,0,10,3,0,0,0,0,0,0,1.0,SEA
"Kenjon Barner (SD, RB)",7,3,0,12,7,6,0,0,0,0,0,0,2.4,CAR
"Derrick Coleman (ATL, RB)",62,8,1,46,3,2,0,0,0,0,1,0,14.5,SEA
"Shaun Draughn (NYG, RB)",0,0,0,0,2,4,0,0,0,0,0,0,0.2,BAL
"Joe Banyard (BUF, RB)",11,1,0,12,0,0,0,0,0,0,0,0,1.6,MIN
"Kerwynn Williams (ARI, RB)",0,0,0,0,0,0,0,0,0,0,0,0,0.0,IND
"Chris Thompson (WAS, RB)",0,0,0,0,0,0,0,0,0,0,0,0,0.0,WAS
"Patrick DiMarco (BUF, RB)",49,10,0,36,0,0,0,0,0,0,0,0,8.9,ATL
"Travaris Cadet (NO, RB)",5,2,1,6,0,0,0,0,0,0,0,0,7.5,NO
