Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jonathan Stewart (CAR, RB)",139,26,1,105,1133,221,10,0,0,0,3,0,191.7,CAR
"Frank Gore (IND, RB)",406,75,3,410,1120,229,10,0,0,0,3,0,237.6,SF
"Matt Forte (NYJ, RB)",471,72,0,476,929,258,4,0,0,0,6,0,166.25,CHI
"LeSean McCoy (BUF, RB)",308,55,0,389,637,155,4,0,0,0,2,0,124.5,PHI
"Tim Hightower (SF, RB)",428,80,0,443,598,143,8,0,0,0,5,0,156.35,ARI
"Marshawn Lynch (OAK, RB)",179,37,0,199,450,120,2,0,0,0,3,0,75.9,BUF
"Darren McFadden (DAL, RB)",245,36,0,186,356,104,1,0,0,0,5,0,61.349999999999994,OAK
"Darren Sproles (PHI, RB)",497,57,4,517,343,93,3,0,0,0,3,0,131.25,SD
"Danny Woodhead (BAL, RB)",87,14,0,46,64,15,0,0,0,0,0,0,17.1,NYJ
