Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"DeMarco Murray (TEN, RB)",416,64,0,476,1845,393,13,0,0,0,5,0,351.1,DAL
"Le'Veon Bell (PIT, RB)",798,101,3,765,1355,285,8,0,0,0,0,0,360.3,PIT
"Marshawn Lynch (OAK, RB)",367,48,4,390,1310,281,13,0,0,0,3,0,300.7,SEA
"LeSean McCoy (BUF, RB)",155,39,0,172,1266,313,5,0,0,0,4,0,194.1,PHI
"Eddie Lacy (SEA, RB)",427,55,4,432,1139,246,9,0,0,0,3,0,270.6,GB
"Frank Gore (IND, RB)",111,19,1,94,1103,255,4,0,0,0,2,0,158.4,SF
"Lamar Miller (HOU, RB)",278,52,1,235,1099,216,8,0,0,0,2,0,225.7,MIA
"Jeremy Hill (CIN, RB)",209,30,0,217,1077,206,9,0,0,0,5,0,198.6,CIN
"Alfred Morris (DAL, RB)",155,26,0,144,1074,265,8,0,0,0,2,0,183.9,WAS
"Matt Forte (NYJ, RB)",808,130,4,750,1038,266,6,0,0,0,2,0,342.6,CHI
"Mark Ingram (NO, RB)",145,36,0,136,964,226,9,0,0,0,3,0,187.9,NO
"C.J. Anderson (DEN, RB)",324,44,2,291,849,179,8,0,0,0,1,0,209.3,DEN
"Chris Ivory (JAC, RB)",123,27,1,122,820,198,6,0,0,0,2,0,150.3,NYJ
"Jonathan Stewart (CAR, RB)",181,31,1,209,812,176,3,0,0,0,2,0,144.3,CAR
"Andre Williams (SD, RB)",130,37,0,147,720,216,7,0,0,0,1,0,143.0,NYG
"Terrance West (BAL, RB)",64,13,1,56,673,171,4,0,0,0,2,0,110.69999999999999,CLE
"Giovani Bernard (CIN, RB)",293,51,1,315,672,166,5,0,0,0,0,0,168.5,CIN
"Andre Ellington (ARI, RB)",395,64,2,352,660,201,3,0,0,0,2,0,177.5,ARI
"Isaiah Crowell (CLE, RB)",87,14,0,63,607,148,8,0,0,0,3,0,120.4,CLE
"Branden Oliver (SD, RB)",271,45,1,329,582,160,3,0,0,0,0,0,145.3,SD
"Bishop Sankey (MIN, RB)",133,24,0,148,572,153,2,0,0,0,2,0,96.5,TEN
"Jerick McKinnon (MIN, RB)",135,41,0,173,538,113,0,0,0,0,0,0,94.3,MIN
"Darren McFadden (DAL, RB)",212,56,0,257,534,155,2,0,0,1,1,0,120.6,OAK
"Alfred Blue (HOU, RB)",113,18,1,75,528,169,2,0,0,0,0,0,97.1,HOU
"Doug Martin (TB, RB)",64,20,0,63,494,135,2,0,0,0,0,0,80.8,TB
"Knile Davis (PIT, RB)",147,24,1,153,463,134,6,0,0,0,4,0,111.0,KC
"Latavius Murray (MIN, RB)",143,23,0,153,424,82,2,0,0,0,1,0,83.7,OAK
"Shane Vereen (NYG, RB)",447,78,3,384,395,97,2,0,0,0,0,0,167.2,NE
"Bernard Pierce (DEN, RB)",13,6,0,10,363,93,2,0,0,0,1,0,49.599999999999994,BAL
"Carlos Hyde (SF, RB)",68,16,0,60,333,83,4,0,0,0,1,0,74.1,SF
"Darren Sproles (PHI, RB)",387,62,0,404,329,57,6,0,0,0,4,0,139.6,PHI
"Ryan Mathews (PHI, RB)",69,10,0,61,328,75,3,0,0,0,1,0,64.69999999999999,SD
"Robert Turbin (IND, RB)",186,20,2,163,306,73,0,0,0,0,1,0,75.2,SEA
"C.J. Spiller (KC, RB)",125,22,1,182,299,77,0,0,0,0,3,0,61.400000000000006,BUF
"Lorenzo Taliaferro (BAL, RB)",114,10,0,94,292,68,4,0,0,0,1,0,70.6,BAL
"Juwan Thompson (DEN, RB)",25,7,0,21,272,54,3,0,0,0,1,0,49.7,DEN
"Devonta Freeman (ATL, RB)",225,38,1,161,248,65,1,0,0,0,1,0,87.3,ATL
"Kerwynn Williams (ARI, RB)",11,6,0,13,246,53,0,0,0,0,1,0,25.700000000000003,ARI
"Benny Cunningham (CHI, RB)",352,53,1,309,244,66,3,0,0,0,3,0,122.6,STL
"Jacquizz Rodgers (TB, RB)",173,40,1,185,217,58,1,0,0,0,1,0,78.0,ATL
"Charles Sims (TB, RB)",190,27,0,197,185,66,1,0,0,0,2,0,58.5,TB
"Christine Michael (GB, RB)",12,2,0,18,175,34,0,0,0,0,1,0,17.7,SEA
"Ka'Deem Carey (CHI, RB)",57,6,0,36,158,36,0,0,0,0,0,0,26.5,CHI
"Fozzy Whittaker (CAR, RB)",60,6,1,78,145,32,1,0,0,0,0,0,37.5,CAR
"Bilal Powell (NYJ, RB)",92,15,0,96,141,33,1,0,0,0,0,0,40.3,NYJ
"Damien Williams (MIA, RB)",187,27,1,143,122,36,0,0,0,0,0,0,57.900000000000006,MIA
"Lance Dunbar (LA, RB)",217,22,0,196,99,29,0,0,0,0,0,0,49.6,DAL
"Brandon Bolden (NE, RB)",8,6,0,11,98,29,1,0,0,0,0,0,18.6,NE
"Joe Banyard (BUF, RB)",62,11,0,71,88,21,0,0,0,0,0,0,24.0,MIN
"Storm Johnson (MIA, RB)",-4,1,0,0,86,29,2,0,0,0,0,0,21.2,JAC
"Darrin Reaves (KC, RB)",31,8,0,42,77,32,0,0,0,0,0,0,15.8,CAR
"George Winn (NYG, RB)",0,3,0,0,73,19,0,0,0,0,0,0,7.3,DET
"DuJuan Harris (SF, RB)",11,2,0,10,64,16,0,0,0,0,0,0,8.5,GB
"Theo Riddick (DET, RB)",316,50,4,307,51,20,0,0,0,0,0,0,94.69999999999999,DET
"Cedric Peerman (CIN, RB)",27,5,0,24,43,15,0,0,0,0,1,0,8.0,CIN
"Danny Woodhead (BAL, RB)",34,6,0,33,39,15,0,0,0,0,0,0,12.3,SD
"James White (NE, RB)",23,5,0,21,38,9,0,0,0,0,0,0,11.1,NE
"Mike James (DET, RB)",-5,1,0,0,37,19,0,0,0,0,0,0,4.2,TB
"Travaris Cadet (NO, RB)",296,51,1,240,32,10,0,0,0,0,2,0,72.8,NO
"Rex Burkhead (NE, RB)",49,10,0,39,27,9,1,0,0,0,0,0,20.6,CIN
